SP,RP,TI,TT,UT,LMS,CML,MLR,RP,TI,TT,UT,LMS,CML,MLR,mean,trans,pre_trans,s2s,pres2s,dae
0.004506035,0.00562775,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5123153,0.47939265,0.372886061,0.011281429,0.00660803,0.984087412,0.999832143,0.128145899
0.004553446,0.005686963,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5073892,0.47960496,0.372323624,0.011263027,0.006594573,0.984229594,0.999831313,0.128145924
0.004600857,0.005746177,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.5024631,0.47981298,0.371760669,0.011244626,0.006581027,0.984371313,0.999830621,0.128145932
0.004648269,0.00580539,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.49753696,0.48001683,0.371197204,0.011226495,0.006567796,0.984512801,0.999829883,0.128145957
0.00469568,0.005864603,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.49261087,0.48021656,0.370633248,0.011208048,0.006554384,0.984653722,0.999829192,0.128145983
0.004743091,0.005923817,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.48768473,0.48041236,0.370068811,0.011189692,0.006540913,0.984794119,0.9998285,0.128145995
0.004790502,0.00598303,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.48275864,0.48060435,0.36950392,0.01117138,0.006527712,0.984933937,0.999827693,0.128146021
0.004837913,0.006042244,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.4778325,0.48079252,0.368938561,0.011152979,0.00651445,0.985073388,0.999826886,0.128146033
0.004885324,0.006101457,1,0.99975437,0.99684626,1,1,1,0,1,0,0,0,0.4729064,0.48097718,0.368372783,0.011134622,0.006501354,0.985212209,0.99982616,0.128146059
0.004932736,0.006160671,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.46798033,0.48115826,0.367806338,0.011116205,0.006488168,0.985350873,0.99982533,0.128145907
0.004980146,0.006219884,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.46305418,0.481336,0.367239717,0.011097818,0.006475056,0.985488749,0.99982465,0.128145932
0.005027558,0.006279098,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.4581281,0.48151028,0.366672687,0.011079341,0.006462005,0.98562652,0.999823958,0.128145957
0.005074969,0.006338311,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.453202,0.48168147,0.366105281,0.011061075,0.006448953,0.985763556,0.999823197,0.128145957
0.00512238,0.006397525,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.44827586,0.4818495,0.365537489,0.011042492,0.006436082,0.98590014,0.999822505,0.128145983
0.005169791,0.006456738,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.44334978,0.48201442,0.364969328,0.01102412,0.006423151,0.986036514,0.999821629,0.128145995
0.005217203,0.006515952,1,0.9997524,0.99684626,1,1,1,0,1,0,0,0,0.43842363,0.48217636,0.364400798,0.011005598,0.0064104,0.986172248,0.999820891,0.128146008
