SP,RP,TI,TT,UT,LMS,CML,MLR,RP,TI,TT,UT,LMS,CML,MLR
0.005738725,0.0071673,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.38423645,0.4837829
0.005786136,0.007226514,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.37931037,0.4839146
0.005833548,0.007285727,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.37438422,0.4840443
0.005880958,0.007344941,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.36945814,0.484172
0.00592837,0.007404154,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.36453205,0.4842975
0.005975781,0.007463368,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.3596059,0.48442113
0.006023192,0.007522581,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.35467982,0.4845428
0.006070603,0.007581795,1,0.99975044,0.99684626,1,1,1,0,1,0,0,0,0.34975368,0.4846626
0.006118015,0.007641008,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.3448276,0.48478055
0.006165425,0.007700222,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.3399015,0.48489666
0.006212837,0.007759435,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.33497536,0.48501104
0.006260248,0.007818649,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.33004928,0.4851237
0.006307659,0.007877862,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.3251232,0.48523468
0.00635507,0.007937076,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.32019705,0.48534405
0.006402481,0.007996289,1,0.99974847,0.99684626,1,1,1,0,1,0,0,0,0.31527096,0.48545176
